,Screen_name,UserID,TweetID,Coords,Lat,Lon,Created_At,Text,Labels
319,iamgarrypotter,185161231,781420473125134337,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Thu Sep 29 09:08:53 +0000 2016,its not as big as i thought. @ Leaning Tower of Pisa https://t.co/tvx7QWqB7n,3
320,crissemedo,50049901,782213500248686592,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sat Oct 01 13:40:05 +0000 2016,Pisa!!!! Buon pomeriggio!!! @ Leaning Tower of Pisa https://t.co/8fNmHBUpf2,3
321,crissemedo,50049901,782215108873322497,"[43.72267923, 10.39542451]",43.72267923,10.39542451,Sat Oct 01 13:46:29 +0000 2016,"Momento História!!! @ Pisa, Tuscany, Italy https://t.co/3snc1Kmn0t",3
322,crissemedo,50049901,782220999400062976,"[43.72267923, 10.39542451]",43.72267923,10.39542451,Sat Oct 01 14:09:53 +0000 2016,"Arquitetura momento!! @ Pisa, Tuscany, Italy https://t.co/NfIztsJz5p",3
323,crissemedo,50049901,782224182637686784,"[43.72267923, 10.39542451]",43.72267923,10.39542451,Sat Oct 01 14:22:32 +0000 2016,"Tutti Belli!!!! @ Pisa, Tuscany, Italy https://t.co/XRhx02aV18",3
324,Creiamoin3D,2820243958,781829599227473924,"[43.7152699, 10.40025]",43.715269899999996,10.40025,Fri Sep 30 12:14:36 +0000 2016,#mostlyprintedcnc #cnc #first #test #halloween #theme #witch #opensource #project #prototype… https://t.co/l7auAKHlf8,4
325,Creiamoin3D,2820243958,780014255638740992,"[43.7152699, 10.40025]",43.715269899999996,10.40025,Sun Sep 25 12:01:05 +0000 2016,"https://t.co/cGFkL8xR1c
#origami #paper #papercraft #art #diy #instructables… https://t.co/wn6zTJQy3I",4
326,Naty_kaaa,342349557,780061253293268992,"[43.7167, 10.3833]",43.7167,10.3833,Sun Sep 25 15:07:50 +0000 2016,"#bestfriends #purelove #dog 🐕💜 @ Pisa, Italy https://t.co/dypTeXjRv3",1
327,TheParkerJones,46050634,780733034089816064,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Tue Sep 27 11:37:15 +0000 2016,Tourist and proud of it ✌🏼️🇮🇹 @ Leaning Tower of Pisa https://t.co/VbpyAPLKLd,3
328,lorenzolad,533166163,779372535095984128,"[43.71389941, 10.40550651]",43.71389941,10.40550651,Fri Sep 23 17:31:07 +0000 2016,"Viste privilegiate per noi poveri architetti allestitori...
#museum #pisa #architecture… https://t.co/HQFWPhA6e1",6
